,system_name,kpi_name,value
0,3D机房可视,disk,39.644176664874756
1,BPM应用,disk,61.13595150043137
2,ERP,disk,33.345642096942704
3,ESB服务,disk,54.44215622618073
4,ETL工具,disk,22.752081980634053
5,I6000,disk,66.92052113032594
6,PMS(胜利公司),disk,37.85457471137125
7,S6000,disk,21.52110521412813
8,一体化会务,disk,81.23268074414928
9,一体化网瑞,disk,80.82637438955122
10,人才开发管理,disk,38.681125257600996
11,体改综合管理,disk,20.0
12,全链条预算,disk,45.962718572675804
13,公网通信,disk,21.33783205825777
14,内网移动应用,disk,55.724985743767434
15,内网门户,disk,33.17943821810545
16,凭据电子化,disk,45.71284984332482
17,凭证协同,disk,30.800778590176385
18,创新创效平台,disk,39.44937907573624
19,办公物资管理,disk,34.0
20,医保管理诊疗,disk,34.340000000002384
21,即时通讯,disk,56.28761016853443
22,发票扫描,disk,65.32970358243395
23,变电运检,disk,36.93600909014028
24,可靠性管理,disk,79.5795073822132
25,员工报销2.0,disk,24.825643649604324
26,品牌建设管理,disk,90.52449820736439
27,国网链,disk,24.258342037659148
28,增值税发票,disk,42.654362984501596
29,安全例会,disk,23.807356802077745
30,安全基线,disk,56.371979504829646
31,安全工器具,disk,34.539479434279826
32,安全监督,disk,21.806662055732637
33,审计全业务,disk,20.28479321344022
34,审计多维,disk,14.864627925359624
35,审计成果,disk,48.2050296417612
36,工会劳模系统,disk,36.73387347203794
37,市场化售电,disk,14.971628602885131
38,带电检测,disk,46.04096222792031
39,应急指挥,disk,44.431883522007034
40,态势感知,disk,3.0
41,房地资源,disk,41.68830731445009
42,教培大数据,disk,16.75829263472885
43,数字化审计,disk,9.341649493267086
44,数字证书,disk,17.5
45,数据库同步,disk,38.401695226265424
46,数据标注,disk,86.60154419444993
47,新媒体管理,disk,59.6489467295425
48,智慧供应链,disk,59.09139288033454
49,桌面标准化,disk,28.119999999995727
50,民主管理,disk,25.233107303159027
51,海量平台,disk,62.68827400276769
52,物联管理平台,disk,9.630000000003541
53,物资工作,disk,43.37000000003255
54,物资抽检,disk,78.3329475199729
55,现场作业,disk,43.76484939164027
56,现货交易,disk,18.649711769192226
57,现货结算,disk,31.467881320055515
58,班组一体化,disk,64.0
59,班组信息化,disk,58.260932162719136
60,班组建设,disk,79.19608686446703
61,班组移动,disk,26.885481184543064
62,生产管理2.0,disk,42.35041921914821
63,电力交易,disk,35.95873203850183
64,电子文件管理,disk,30.0
65,电子标签系统,disk,18.0
66,电网GIS,disk,42.88269542388109
67,电网建设专题,disk,5.0
68,电能质量监测,disk,78.66433588346383
69,社保基金,disk,37.077291307908936
70,移动仓储,disk,87.57386443835925
71,移动办公,disk,15.358944188809485
72,移动终端安全,disk,13.944033537532112
73,移动终端管控,disk,39.59691584563933
74,线损可视化,disk,43.016796714023975
75,线损理论计算,disk,53.327640233746436
76,统一数据,disk,44.33898498150765
77,统一权限,disk,45.424972334356916
78,统一短信,disk,12.019128532307823
79,统一视频,disk,32.97788964797264
80,统一车辆管理,disk,58.94528978347402
81,综合电压,disk,55.24580964344852
82,综合计划储备,disk,37.87183468368009
83,网上电网,disk,27.422472687237107
84,职工之家,disk,66.99697936369026
85,自动化运维,disk,1.1603024870846184
86,自建运维审计,disk,23.0
87,营配贯通,disk,23.757050786218585
88,营销业务管理,disk,45.150181379329815
89,营销数据,disk,23.647206052567153
90,营销稽查,disk,59.530799198261015
91,行为审计,disk,51.15623013297869
92,计划审查,disk,87.57386443835925
93,财务管控,disk,17.931670665952065
94,资产决策,disk,56.586954803344184
95,车辆定位,disk,75.23345157100698
96,输变电监测,disk,55.82673009061831
97,运营平台,disk,40.58886599102584
98,运营监测,disk,46.19296262315528
99,配网标准化,disk,76.69993394121421
100,防灾减灾,disk,39.81770572792821
101,项目全过程,disk,64.54311859524415
102,高压精益化,disk,46.108559410552466
